"","LMC1","LMC2","LMC3","LMC4","LMC5","LMC6","LMC7","LMC8","LMC9","LMC10","LMC11","LMC12","LMC13","LMC14"
"cg18456523",0,0.458474158500151,0,1,0.122666685829214,0,0.715091883646373,0.723177536639713,0.936261675320004,1,0.45800787265673,1,0.480553203549426,0
"cg25228422",0.823290614583387,0.483238693283197,0,1,0,0.74740802574407,0.160590269125638,0.36994580223388,0.627081055664011,0.503192811929271,0.444124234326372,1,1,0
"cg02367850",0.383380828063043,0.482742129575865,0,0.797723611872207,0,0.129162470318638,1,1,1,1,0,0.893427156208024,0.178527820132356,0.413853241118357
"cg22747076",0.0851746626062302,0.852821105064391,0.406907603577399,0.670651058625664,0,0.344794361500165,0.408205213101668,0,0.932255795447056,0.614262501695616,0.912492989049996,0.715931101451896,0.454246242884322,0.136552644202223
"cg10932018",0,0.454740535628793,0,1,0.104466806072606,0.021504153200174,0.659853119079857,0.755508643127622,0.87099803033321,1,0.415340068624846,1,0.54578496286154,0
"cg03278514",1,0,0,1,0.104828135189092,0.61088697165356,1,0.978858505290016,1,0,0,1,1,0.6418395703215
"cg09341793",1,0.0585197388390234,0,1,0.307961493311883,0,0.264857264969171,1,0.732450268252277,1,0.0233967466225525,1,0.981841894084008,0
"cg06833110",0,1,0.141240503117256,1,0.105495211648227,0.438170038090481,1,0,1,0.995647543994373,0.573836485901081,0.0387147926767786,0,0.517679532363613
"cg23663774",0.0749391772353236,0.787009237283631,0,0.518312412645178,0,1,0.529219736189549,0.733096491284154,1,1,0,1,0.137899836840285,0
"cg06750897",0,0.793672182800921,0,0.283636004342873,1,0.546616827158604,0.870984615579427,0.161673120647331,1,1,0.263890033933904,0.186000369251422,0,1
"cg20151476",1,0.508711035691237,0.0611074811980633,1,0.93361476631644,0,0.251975850980249,0.487655224669328,0.652715424004123,0,0,1,1,0.1478126427289
"cg24157892",1,0.787144510198811,0,1,0.0465199634272265,0.0355078343751169,1,1,0.945281017637512,0.67969814050575,0,0.867403236069963,0.0136327206313649,0.17995127365809
"cg06436185",1,0.0822620288708071,0.540219962490292,0.87669743457359,0.506259777410339,0.775628435995044,0.451709479273504,0.79188050192155,1,0,0,1,1,0.101211347053074
"cg22614142",0.672553795834574,0.461437442115589,0,1,0,0,0.852897455778178,1,0.51273975908192,0.916254527573685,0,1,0.548901790643994,0.26919938531251
"cg02296931",0.991080241522771,0,0.897996873193569,1,0.0466705998856389,0.266645827876018,0.173981578787315,0,1,1,0,1,1,0.180814926107244
"cg23697546",0.914390069308584,1,0.419295331691891,1,0,0.137358219998055,1,0.295839771093706,0.337121961937275,1,0.289436272100508,0.756318499159408,0.0262691198744451,0.176203823582711
"cg03923561",0.106277433270894,0.822230340413732,0.536545902207501,0.680666887213008,0,0.335836883535212,0.518176985823427,0,0.898672201554278,0.565654004324026,0.839620678972809,0.650595995565892,0.415628877218893,0.108798475822963
"cg26708220",0,0.641749955864413,0.508739619169249,1,0.122546680884578,0.41924845422034,0.868784584174022,0,1,1,0.5572445098893,0.283192927967774,0,0
"cg03475293",1,0,0,1,0.746293919619329,0.201262965236327,1,0.543009362435276,0.972061147102478,0.0434512073178482,0,1,1,0.413760402681531
"cg00011616",0,0.519686847862563,0.587461935743372,0.0605745530140492,1,0.733191293432376,0.49577975069868,0,0.800646280753095,0.95660600765861,0.436859717597715,0.130879373433357,0,0
"cg24755163",1,0.25625923980642,0.306871399755052,0.837819041881565,0.218906907695453,0.0723983719303434,0.289837469278302,1,1,1,0.0622205100548493,0.623360315625034,0.983777719441249,0
"cg15006175",0.764045177583174,0.49304819721265,0,1,0,0,0.975031876215728,1,0.71609404956151,1,0,1,0.6606652207542,0.221718071832566
"cg08079908",0.548888799617087,0.941582558256567,0.223344602226825,1,0.148997432929488,0.290003864378237,0.424224683547943,0.550200422826986,1,0.83523829753935,0.801383161961238,0.342533298117778,0,0
"cg19759481",1,0.583528653515101,0,0.951482730523292,0.499950267247883,0,0.5931299232349,0.636281706642281,0.752349804329391,0.844746960101762,0.921679026423582,0.102273954839955,0,0
"cg14699728",0.607866289750542,0.551743504708066,0,1,0.232546091374176,0,0,1,0.686261409820374,1,0.0817037135193731,1,0.703571156517557,0
"cg26104083",0.29642079591853,0.212221071863737,0.0780140720154393,1,0,1,0.824122930178544,0.390594907808815,1,0.643481394229909,0,1,1,0
"cg04131969",0.516239310327689,0.308662924570334,0.61325367670041,0.648891957647516,0.648744978094591,0.485829386105851,0.488670863295427,0.244530657805033,0.488358310242483,0.154175752787832,0.405197382632044,0.549146781802926,0.524861546449778,0.515717376820412
"cg16017089",0,0.970519436459176,0,0.244043436567938,1,0,0.44792464199767,0.556756240393707,0.898873259106286,0.939799709494987,0.122835499479668,0.850681981264363,0,0
"cg17399362",0,0.830910605873692,0,1,0.0612574192160529,0.341400643252179,1,1,1,1,0,1,0.100846137710256,0.0888512755096109
"cg24816460",0.989937142619818,0.744583292292699,0,0.456773746857302,0.123599097941792,0.657141597412622,0.538509069492714,1,1,1,0.0109567781644424,1,0.397108256804201,0.0118372568024367
"cg08680048",0.397256398811349,0.444639690267244,0,0.97393868599644,0,0.0196912239388144,0.57347788769477,1,0.851114910805062,1,0.0707592338785688,1,0.0908751564031254,0.093358791852671
"cg04401986",1,0.905722083517047,0,0,0,0.815705283427514,0.780718990832939,0.975489047445017,1,0.350985087397253,0,1,0,0.971509035934582
"cg27596297",1,0.030092595744937,0.863982475279557,0.625277226446408,1,0.24375357555293,0.0641176241492058,1,0.916640724372927,0.864865650844497,0,0.376258027307442,0.0880642074290627,0.0088167643145842
"cg20225999",0,1,0.374877693750372,0,0.748939325992912,1,0,0.453390324773375,0.640348309393908,1,0.863612002102333,0,0,0
"cg06421774",0.458970253427514,0,0.543508670017087,0,0.731947388147538,1,0.116561085350429,0,1,0.793666320520984,0,0.4642376505707,0.816831278898154,0
"cg10122865",0.126265397961506,0.781681750386699,0,0.615718353869542,0,0.819261157654752,1,1,1,0.835164644864109,0,0.586453447751079,0,0.233855164427697
"cg15902390",0,0.620762448598327,0.440586135488223,1,0.099465844733321,0.421623491189324,0.825855978650246,0,1,1,0.582920644827937,0.255679251423816,0,0
"cg00147788",0.456027479106098,0.55799493170969,0,1,0.0673004587508283,0.469051427948359,0,1,1,0.291630650697975,0.287161026266918,1,0.83280926577288,0.16630324576184
"cg20928945",1,0,0.60889367389587,1,0.481938460968952,0.905749318584947,0.422974647306073,0,0.879168235144239,0.466266712061143,0,1,1,0
"cg07803375",0.0809009291130353,1,0.625606893196783,0.43296991747504,0.970417720575353,0,0.0880010970838859,0.533272332333627,0.520333614308442,1,0.445732909116008,0.254213918527854,0,0.0856131719407256
"cg04362790",0.617191944136427,0,0,1,0.794119072394746,1,0.665278836103226,0.0835715206093113,1,0,0.111282095988774,1,1,1
